TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
WAS,WAS vs. IND,04/04/2012,L,240,96,39,84,46.4,6,18,33.3,12,19,63.2,11,24,35,21,5,0,13,18,-13
IND,IND @ WAS,04/04/2012,W,240,109,44,76,57.9,4,11,36.4,17,19,89.5,5,26,31,27,6,8,13,22,13
GSW,GSW @ MIN,04/04/2012,W,240,97,41,86,47.7,4,16,25.0,11,16,68.8,8,29,37,24,11,8,12,17,3
MIN,MIN vs. GSW,04/04/2012,L,240,94,37,87,42.5,9,31,29.0,11,16,68.8,13,36,49,20,5,5,19,14,-3
MEM,MEM @ DAL,04/04/2012,L,240,85,35,83,42.2,7,16,43.8,8,14,57.1,10,30,40,22,6,6,11,18,-10
DAL,DAL vs. MEM,04/04/2012,W,240,95,40,80,50.0,4,15,26.7,11,16,68.8,9,36,45,19,7,8,13,11,10
CLE,CLE @ MIL,04/04/2012,L,240,98,39,95,41.1,8,26,30.8,12,13,92.3,21,23,44,27,3,3,18,21,-9
MIL,MIL vs. CLE,04/04/2012,W,240,107,48,84,57.1,2,11,18.2,9,17,52.9,11,30,41,21,11,5,16,12,9
ATL,ATL vs. CHA,04/04/2012,W,240,120,47,83,56.6,9,19,47.4,17,19,89.5,6,33,39,32,7,1,6,20,27
CHA,CHA @ ATL,04/04/2012,L,240,93,36,79,45.6,5,14,35.7,16,20,80.0,8,29,37,22,3,2,13,14,-27
PHX,PHX @ UTA,04/04/2012,W,240,107,41,91,45.1,13,31,41.9,12,22,54.5,14,28,42,24,10,7,11,18,2
UTA,UTA vs. PHX,04/04/2012,L,240,105,40,79,50.6,3,9,33.3,22,28,78.6,10,37,47,24,7,8,15,20,-2
NJN,NJN @ POR,04/04/2012,L,240,88,32,86,37.2,6,19,31.6,18,19,94.7,15,30,45,17,6,2,16,18,-13
POR,POR vs. NJN,04/04/2012,W,240,101,37,81,45.7,12,24,50.0,15,19,78.9,11,35,46,24,10,6,15,15,13
OKC,OKC @ MIA,04/04/2012,L,240,93,35,81,43.2,5,17,29.4,18,20,90.0,12,29,41,16,10,8,20,25,-5
MIA,MIA vs. OKC,04/04/2012,W,240,98,31,83,37.3,10,24,41.7,26,29,89.7,8,25,33,16,13,8,14,19,5
LAL,LAL @ LAC,04/04/2012,W,240,113,43,83,51.8,6,16,37.5,21,30,70.0,12,32,44,25,5,8,12,16,5
LAC,LAC vs. LAL,04/04/2012,L,240,108,43,95,45.3,9,25,36.0,13,20,65.0,18,28,46,27,5,7,10,21,-5
BOS,BOS vs. SAS,04/04/2012,L,240,86,38,83,45.8,4,10,40.0,6,13,46.2,4,35,39,21,13,4,12,12,-1
SAS,SAS @ BOS,04/04/2012,W,240,87,36,86,41.9,7,28,25.0,8,11,72.7,12,41,53,17,7,4,17,8,1
TOR,TOR @ PHI,04/04/2012,W,240,99,39,77,50.6,9,21,42.9,12,12,100.0,11,35,46,26,3,0,13,12,21
PHI,PHI vs. TOR,04/04/2012,L,240,78,34,79,43.0,3,12,25.0,7,8,87.5,8,21,29,23,5,8,7,14,-21
GSW,GSW @ MEM,04/03/2012,L,240,94,38,82,46.3,7,18,38.9,11,16,68.8,9,32,41,18,8,4,14,16,-4
MEM,MEM vs. GSW,04/03/2012,W,240,98,37,80,46.3,9,17,52.9,15,24,62.5,11,30,41,20,9,9,13,15,4
CHA,CHA @ TOR,04/03/2012,L,240,87,31,77,40.3,4,12,33.3,21,30,70.0,17,29,46,21,6,3,14,19,-5
TOR,TOR vs. CHA,04/03/2012,W,240,92,35,76,46.1,7,18,38.9,15,22,68.2,10,28,38,25,7,3,10,23,5
SAC,SAC vs. PHX,04/03/2012,L,240,100,39,85,45.9,1,10,10.0,21,32,65.6,11,32,43,19,7,8,13,24,-9
PHX,PHX @ SAC,04/03/2012,W,240,109,40,90,44.4,5,22,22.7,24,28,85.7,13,34,47,23,5,9,13,23,9
IND,IND vs. NYK,04/03/2012,W,240,112,41,86,47.7,6,23,26.1,24,31,77.4,16,29,45,18,8,4,9,24,8
NYK,NYK @ IND,04/03/2012,L,240,104,38,83,45.8,10,23,43.5,18,25,72.0,16,28,44,14,5,7,13,25,-8
DET,DET vs. ORL,04/03/2012,W,240,102,43,76,56.6,3,11,27.3,13,19,68.4,12,33,45,25,6,5,14,17,7
ORL,ORL @ DET,04/03/2012,L,240,95,33,72,45.8,10,24,41.7,19,24,79.2,4,26,30,18,9,1,10,17,-7
PHI,PHI @ MIA,04/03/2012,L,240,93,38,83,45.8,3,10,30.0,14,17,82.4,10,28,38,18,10,5,17,21,-6
MIA,MIA vs. PHI,04/03/2012,W,240,99,35,75,46.7,3,13,23.1,26,32,81.3,11,32,43,15,13,6,17,15,6
