Year,TEAM,OFFRTG,DEFRTG,
2007-08,Boston Celtics,108.8,98.1,
2007-08,Charlotte Bobcats,103.7,108.2,
2007-08,Chicago Bulls,102.9,106,
2007-08,Cleveland Cavaliers,104.8,105.4,
2007-08,Dallas Mavericks,109.5,104.7,
2007-08,Denver Nuggets,108.9,105.5,
2007-08,Detroit Pistons,109.8,101.5,
2007-08,Golden State Warriors,110.4,108.5,
2007-08,Houston Rockets,105.4,100.5,
2007-08,Indiana Pacers,105.1,106.3,
2007-08,Los Angeles Clippers,99.9,107.4,
2007-08,Los Angeles Lakers,111.7,104.3,
2007-08,Memphis Grizzlies,103.9,110.2,
2007-08,Miami Heat,99.4,108.8,
2007-08,Milwaukee Bucks,103.9,111.1,
2007-08,Minnesota Timberwolves,102.7,110,
2007-08,New Jersey Nets,102.3,107.7,
2007-08,New Orleans Hornets,110,104.4,
2007-08,New York Knicks,103.5,110.4,
2007-08,Orlando Magic,110.4,104.9,
2007-08,Philadelphia 76ers,105.1,104.7,
2007-08,Phoenix Suns,112,107,
2007-08,Portland Trail Blazers,105.9,106.8,
2007-08,Sacramento Kings,106.2,108.6,
2007-08,San Antonio Spurs,106,100.7,
2007-08,Seattle SuperSonics,99.6,108.3,
2007-08,Toronto Raptors,108.9,105.6,
2007-08,Utah Jazz,112.1,104.9,
2007-08,Washington Wizards,107.6,107.9,
2006-07,Atlanta Hawks,102,107,
2006-07,Boston Celtics,102.3,105.8,
2006-07,Charlotte Bobcats,102.4,106.3,
2006-07,Chicago Bulls,104,98.8,
2006-07,Cleveland Cavaliers,104.4,100.6,
2006-07,Dallas Mavericks,109.7,102.1,
2006-07,Denver Nuggets,106.7,105.1,
2006-07,Detroit Pistons,107.4,102.6,
2006-07,Golden State Warriors,106.2,106.5,
2006-07,Houston Rockets,104.7,99.7,
2006-07,Indiana Pacers,101.9,104.4,
2006-07,Los Angeles Clippers,103.8,104.2,
2006-07,Los Angeles Lakers,107.3,107.5,
2006-07,Memphis Grizzlies,105.7,110.9,
2006-07,Miami Heat,103.4,104.6,
2006-07,Milwaukee Bucks,106,110.3,
2006-07,Minnesota Timberwolves,102.4,106.5,
2006-07,New Jersey Nets,104.2,105.1,
2006-07,New Orleans/Oklahoma City Hornets,103.7,105.4,
2006-07,New York Knicks,104.3,107.4,
2006-07,Orlando Magic,104.1,103.3,
2006-07,Philadelphia 76ers,102.4,105.6,
2006-07,Phoenix Suns,112.9,105.5,
2006-07,Portland Trail Blazers,103.8,108.6,
2006-07,Sacramento Kings,105.1,106.7,
2006-07,San Antonio Spurs,108.6,99.4,
2006-07,Seattle SuperSonics,105.9,108.9,
2006-07,Toronto Raptors,105.7,104.4,
2006-07,Utah Jazz,108.6,105.6,
2006-07,Washington Wizards,108.7,109.1,
2005-06,Atlanta Hawks,104.8,110.1,
2005-06,Boston Celtics,104,105.6,
2005-06,Charlotte Bobcats,101.2,105.6,
2005-06,Chicago Bulls,103.3,102.7,
2005-06,Cleveland Cavaliers,106.6,104.4,
2005-06,Dallas Mavericks,109.9,103.2,
2005-06,Denver Nuggets,104.4,104.1,
2005-06,Detroit Pistons,109.3,101.7,
2005-06,Golden State Warriors,103.5,104.9,
2005-06,Houston Rockets,100.4,102.1,
2005-06,Indiana Pacers,103.1,101,
2005-06,Los Angeles Clippers,103.8,102.2,
2005-06,Los Angeles Lakers,106.8,104.2,
2005-06,Memphis Grizzlies,104.5,100.4,
2005-06,Miami Heat,107.5,103.4,
2005-06,Milwaukee Bucks,104.9,105.9,
2005-06,Minnesota Timberwolves,101.5,103.5,
2005-06,New Jersey Nets,102.4,100.9,
2005-06,New Orleans/Oklahoma City Hornets,102.3,105.1,
2005-06,New York Knicks,102.7,109.3,
2005-06,Orlando Magic,105.3,106.6,
2005-06,Philadelphia 76ers,104.7,106.5,
2005-06,Phoenix Suns,110.2,104.7,
2005-06,Portland Trail Blazers,99.7,110.3,
2005-06,Sacramento Kings,105.3,103.5,
2005-06,San Antonio Spurs,106.2,98.7,
2005-06,Seattle SuperSonics,109.4,112.7,
2005-06,Toronto Raptors,107.9,111.2,
2005-06,Utah Jazz,102.4,105.1,
2005-06,Washington Wizards,107.7,105.8,
